abide,abode,abode
arise,arose,arisen
awake,awoke,awoken
be,was/were,been
bear,bore,borne/born
beat,beat,beaten
become,became,become
befall,befell,befallen
beget,begot,begotten
begin,began,begun
behold,beheld,beheld
bend,bent,bent
bereave,bereft/bereaved,bereft/bereaved
beseech,besought,besought
bet,bet,bet
bid,bade,bidden
bind,bound,bound
bite,bit,bitten
bleed,bled,bled
blow,blew,blown
break,broke,broken
breed,bred,bred
bring,brought,brought
broadcast,broadcast,broadcast
build,built,built
burn,burnt/burned,burnt/burned
burst,burst,burst
buy,bought,bought
cast,cast,cast
catch,caught,caught
choose,chose,chosen
cleave,clove/cleft,cloven/cleft
cling,clung,clung
come,came,come
cost,cost,cost
creep,crept,crept
cut,cut,cut
deal,dealt,dealt
dig,dug,dug
dive,dove/dived,dived
do,did,done
draw,drew,drawn
dream,dreamt/dreamed,dreamt/dreamed
drink,drank,drunk
drive,drove,driven
dwell,dwelt,dwelt
eat,ate,eaten
fall,fell,fallen
feed,fed,fed
feel,felt,felt
fight,fought,fought
find,found,found
flee,fled,fled
fling,flung,flung
fly,flew,flown
forbid,forbade,forbidden
forecast,forecast,forecast
foresee,foresaw,foreseen
foretell,foretold,foretold
forget,forgot,forgotten
forgive,forgave,forgiven
forsake,forsook,forsaken
freeze,froze,frozen
get,got,gotten/got
give,gave,given
go,went,gone
grind,ground,ground
grow,grew,grown
hang,hung,hung
have,had,had
hear,heard,heard
heave,hove/heaved,hove/heaved
hide,hid,hidden
hit,hit,hit
hold,held,held
hurt,hurt,hurt
keep,kept,kept
kneel,knelt,knelt
knit,knit,knit
know,knew,known
lay,laid,laid
lead,led,led
lean,leant/leaned,leant/leaned
leap,leapt/leaped,leapt/leaped
learn,learnt/learned,learnt/learned
leave,left,left
lend,lent,lent
let,let,let
lie,lay,lain
light,lit/lighted,lit/lighted
lose,lost,lost
make,made,made
mean,meant,meant
meet,met,met
mow,mowed,mown/mowed
offset,offset,offset
overcome,overcame,overcome
overdo,overdid,overdone
overhear,overheard,overheard
overtake,overtook,overtaken
pay,paid,paid
plead,pled/pleaded,pled/pleaded
prove,proved,proven/proved
put,put,put
quit,quit,quit
read,read,read
rid,rid,rid
ride,rode,ridden
ring,rang,rung
rise,rose,risen
run,ran,run
saw,sawed,sawn/sawed
say,said,said
see,saw,seen
seek,sought,sought
sell,sold,sold
send,sent,sent
set,set,set
sew,sewed,sewn/sewed
shake,shook,shaken
shear,shore,shorn
shed,shed,shed
shine,shone,shone
shoot,shot,shot
show,showed,shown/showed
shrink,shrank,shrunk
shut,shut,shut
sing,sang,sung
sink,sank,sunk
sit,sat,sat
slay,slew,slain
sleep,slept,slept
slide,slid,slid
sling,slung,slung
slink,slunk,slunk
slit,slit,slit
smell,smelt/smelled,smelt/smelled
sow,sowed,sown/sowed
speak,spoke,spoken
speed,sped/speeded,sped/speeded
spell,spelt/spelled,spelt/spelled
spend,spent,spent
spill,spilt/spilled,spilt/spilled
spin,spun,spun
spit,spat,spat
split,split,split
spoil,spoilt/spoiled,spoilt/spoiled
spread,spread,spread
spring,sprang,sprung
stand,stood,stood
steal,stole,stolen
stick,stuck,stuck
sting,stung,stung
stink,stank,stunk
stride,strode,stridden
strike,struck,struck/stricken
string,strung,strung
strive,strove,striven
swear,swore,sworn
sweep,swept,swept
swell,swelled,swollen/swelled
swim,swam,swum
swing,swung,swung
take,took,taken
teach,taught,taught
tear,tore,torn
tell,told,told
think,thought,thought
thrive,throve/thrived,thriven/thrived
throw,threw,thrown
thrust,thrust,thrust
tread,trod,trodden
undergo,underwent,undergone
understand,understood,understood
undertake,undertook,undertaken
upset,upset,upset
wake,woke,woken
wear,wore,worn
weave,wove,woven
wed,wed,wed
weep,wept,wept
wet,wet,wet
win,won,won
wind,wound,wound
withdraw,withdrew,withdrawn
withhold,withheld,withheld
withstand,withstood,withstood
wring,wrung,wrung
write,wrote,written
